id,listing_url,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,review_scores_value
1378578632974748513,https://www.airbnb.com/rooms/1378578632974748513,Copacabana,-22.9696849,-43.1855841,Entire home/apt,2,1.0,1.0,1.0,240.0,,
1270351967919022728,https://www.airbnb.com/rooms/1270351967919022728,Copacabana,-22.98347402974748,-43.19059379103636,Entire home/apt,3,1.0,1.0,2.0,200.0,5.0,5.0
14204783,https://www.airbnb.com/rooms/14204783,Ipanema,-22.98357,-43.20806,Entire home/apt,4,2.0,2.0,2.0,800.0,5.0,5.0
1406730050244912683,https://www.airbnb.com/rooms/1406730050244912683,Barra da Tijuca,-23.010611,-43.368771,Entire home/apt,4,1.0,1.0,1.0,292.0,5.0,5.0
1393217149234346030,https://www.airbnb.com/rooms/1393217149234346030,Santa Teresa,-22.9178089,-43.1859805,Private room,3,1.0,1.0,1.0,184.0,,
1106474529163547836,https://www.airbnb.com/rooms/1106474529163547836,Copacabana,-22.976458140926976,-43.18960206039974,Entire home/apt,4,1.0,1.0,1.0,231.0,4.74,4.71
1277535246533677163,https://www.airbnb.com/rooms/1277535246533677163,Barra da Tijuca,-23.0004132323038,-43.34806535393,Entire home/apt,3,2.0,2.0,2.0,420.0,5.0,4.8
28521625,https://www.airbnb.com/rooms/28521625,Copacabana,-22.97653,-43.19342,Entire home/apt,4,1.0,1.0,3.0,219.0,4.66,4.69
3066861,https://www.airbnb.com/rooms/3066861,Recreio dos Bandeirantes,-23.0219,-43.47025,Entire home/apt,7,2.0,3.0,5.0,342.0,4.47,4.35
31119727,https://www.airbnb.com/rooms/31119727,Ipanema,-22.98631,-43.20121,Entire home/apt,2,1.0,1.0,1.0,411.0,4.95,4.9
42333573,https://www.airbnb.com/rooms/42333573,Leme,-22.9643,-43.17248,Entire home/apt,2,1.0,1.0,1.0,230.0,4.91,4.83
18294244,https://www.airbnb.com/rooms/18294244,Botafogo,-22.954421421480934,-43.19418621063233,Entire home/apt,2,1.5,1.0,2.0,247.0,4.87,4.68
41027097,https://www.airbnb.com/rooms/41027097,Copacabana,-22.96197,-43.18191,Entire home/apt,8,2.0,2.0,5.0,467.0,4.84,4.8
